Company	Role / Title	Job Type	Experience Level	Location / Remote	Salary / CTC / Stipend	Match Fit	Apply Link
Figma	Account Executive, Federal - Civilian	Full-Time (General)	1-3 yrs (Standard)	Washington, DC	Competitive (Market Standard)	68%	https://boards.greenhouse.io/figma/jobs/6143113004?gh_jid=6143113004
Figma	Account Executive, Mid-Market	Experienced (2-4 yrs)	2-4 yrs	San Francisco, CA • New York, NY • United States	Competitive (Market Standard)	68%	https://boards.greenhouse.io/figma/jobs/5422236004?gh_jid=5422236004
Figma	Account Executive, Mid-Market (London, United Kingdom)	Experienced (2-4 yrs)	2-4 yrs	London, England	Competitive (Market Standard)	68%	https://boards.greenhouse.io/figma/jobs/5415515004?gh_jid=5415515004
Figma	Account Executive, Mid-Market (Paris, France)	Experienced (2-4 yrs)	2-4 yrs	Paris, France	Competitive (Market Standard)	68%	https://boards.greenhouse.io/figma/jobs/5844225004?gh_jid=5844225004
Airbnb	Acquisition Manager	Senior / Lead (5+ yrs)	5+ yrs	Berlin, Germany 	Competitive (Market Standard)	68%	https://careers.airbnb.com/positions/7995153?gh_jid=7995153
Airbnb	Acquisition Manager	Senior / Lead (5+ yrs)	5+ yrs	Paris, France	Competitive (Market Standard)	68%	https://careers.airbnb.com/positions/7995199?gh_jid=7995199
Airbnb	Business Operations and Growth Lead	Senior / Lead (5+ yrs)	5+ yrs	Sydney, Australia	Competitive (Market Standard)	68%	https://careers.airbnb.com/positions/7999656?gh_jid=7999656
Airbnb	Business Operations and Growth Lead	Senior / Lead (5+ yrs)	5+ yrs	United States 	Competitive (Market Standard)	68%	https://careers.airbnb.com/positions/7834481?gh_jid=7834481
Airbnb	Compensation Partner	Full-Time (General)	1-3 yrs (Standard)	San Francisco, United States	Competitive (Market Standard)	68%	https://careers.airbnb.com/positions/8104102?gh_jid=8104102
Postman	Account Development Representative	Full-Time (General)	1-3 yrs (Standard)	Boston, Massachusetts	Competitive (Market Standard)	68%	https://job-boards.greenhouse.io/postman/jobs/7452188003
Postman	Account Development Representative, Bahasa Speaking	Full-Time (General)	1-3 yrs (Standard)	Jakarta, Indonesia	Competitive (Market Standard)	68%	https://job-boards.greenhouse.io/postman/jobs/7817966003
Postman	Account Development Representative, German Speaking	Full-Time (General)	1-3 yrs (Standard)	London, UK	Competitive (Market Standard)	68%	https://job-boards.greenhouse.io/postman/jobs/7560630003
Postman	Account Executive	Full-Time (General)	1-3 yrs (Standard)	New York, New York, United States	Competitive (Market Standard)	68%	https://job-boards.greenhouse.io/postman/jobs/7824502003
Databricks	ソリューションアーキテクト (プリセールス)	Full-Time (General)	1-3 yrs (Standard)	Tokyo, Japan	Competitive (Market Standard)	68%	https://databricks.com/company/careers/open-positions/job?gh_jid=8559344002
Pinterest	Agency Lead	Senior / Lead (5+ yrs)	5+ yrs	Tokyo, JP	Competitive (Market Standard)	68%	https://www.pinterestcareers.com/jobs/?gh_jid=8010505
Pinterest	Agency Lead	Senior / Lead (5+ yrs)	5+ yrs	New York, NY, US	Competitive (Market Standard)	68%	https://www.pinterestcareers.com/jobs/?gh_jid=8022863
Pinterest	Agency Lead, Independents	Senior / Lead (5+ yrs)	5+ yrs	Los Angeles, CA, US; Chicago, IL, US; New York, NY, US 	Competitive (Market Standard)	68%	https://www.pinterestcareers.com/jobs/?gh_jid=8089344
Pinterest	Client Account Manager, CPG Enterprise (French Market)	Senior / Lead (5+ yrs)	5+ yrs	Dublin, IE	Competitive (Market Standard)	68%	https://www.pinterestcareers.com/jobs/?gh_jid=8037865
Pinterest	Client Account Manager, Enterprise Nordics (English Speaking)	Senior / Lead (5+ yrs)	5+ yrs	Dublin, IE	Competitive (Market Standard)	68%	https://www.pinterestcareers.com/jobs/?gh_jid=8075678
Pinterest	Client Account Manager, Enterprise Sales (International Retail)	Internship	0 yrs (College / Student)	Dublin, IE	Competitive (Market Standard)	68%	https://www.pinterestcareers.com/jobs/?gh_jid=8016712
Pinterest	Client Account Manager II	Senior / Lead (5+ yrs)	5+ yrs	São Paulo, BR	Competitive (Market Standard)	68%	https://www.pinterestcareers.com/jobs/?gh_jid=8081337
Pinterest	Client Account Manager II	Senior / Lead (5+ yrs)	5+ yrs	São Paulo, BR	Competitive (Market Standard)	68%	https://www.pinterestcareers.com/jobs/?gh_jid=8081335
Pinterest	Client Account Manager II (12 Months Fixed Term)	Senior / Lead (5+ yrs)	5+ yrs	Sydney, AU	Competitive (Market Standard)	68%	https://www.pinterestcareers.com/jobs/?gh_jid=8102744
Robinhood	Account Maintenance Associate	Full-Time (General)	1-3 yrs (Standard)	Clearwater, FL	Competitive (Market Standard)	68%	https://boards.greenhouse.io/robinhood/jobs/8114351?t=gh_src=&gh_jid=8114351
Robinhood	Assistant General Counsel, Canada	Full-Time (General)	1-3 yrs (Standard)	Toronto, Canada	Competitive (Market Standard)	68%	https://boards.greenhouse.io/robinhood/jobs/8093267?t=gh_src=&gh_jid=8093267
Robinhood	Assistant General Counsel, Credit Cards	Full-Time (General)	1-3 yrs (Standard)	Menlo Park, CA; New York, NY; Washington, DC	Competitive (Market Standard)	68%	https://boards.greenhouse.io/robinhood/jobs/7943204?t=gh_src=&gh_jid=7943204
Robinhood	Assistant General Counsel, Regulatory	Full-Time (General)	1-3 yrs (Standard)	Menlo Park, CA; New York, NY; Washington, DC	Competitive (Market Standard)	68%	https://boards.greenhouse.io/robinhood/jobs/8003458?t=gh_src=&gh_jid=8003458
Robinhood	Chief of Staff, Brokerage Product	Senior / Lead (5+ yrs)	5+ yrs	Menlo Park, CA	Competitive (Market Standard)	68%	https://boards.greenhouse.io/robinhood/jobs/7839130?t=gh_src=&gh_jid=7839130
Robinhood	Compliance Advisory Lead, Money	Senior / Lead (5+ yrs)	5+ yrs	Menlo Park, CA; New York, NY; Washington, DC	Competitive (Market Standard)	68%	https://boards.greenhouse.io/robinhood/jobs/8054481?t=gh_src=&gh_jid=8054481
Robinhood	Compliance Senior Specialist	Senior / Lead (5+ yrs)	5+ yrs	Chicago, IL; Denver, CO; Lake Mary, FL; New York, NY	Competitive (Market Standard)	68%	https://boards.greenhouse.io/robinhood/jobs/8077870?t=gh_src=&gh_jid=8077870
Discord	Account Manager, Advertising Solutions	Senior / Lead (5+ yrs)	5+ yrs	San Francisco Bay Area 	Competitive (Market Standard)	68%	https://job-boards.greenhouse.io/discord/jobs/8599937002
Discord	Associate Product Counsel, Safety	Full-Time (General)	1-3 yrs (Standard)	San Francisco Bay Area	Competitive (Market Standard)	68%	https://job-boards.greenhouse.io/discord/jobs/8625545002
Discord	Commercial Policy Lead, Brand Safety & Malware	Senior / Lead (5+ yrs)	5+ yrs	San Francisco Bay Area 	Competitive (Market Standard)	68%	https://job-boards.greenhouse.io/discord/jobs/8680047002
Gusto	Benefits Care Advocate, Phoenix 	Full-Time (General)	1-3 yrs (Standard)	Phoenix, Arizona, United States	Competitive (Market Standard)	68%	https://job-boards.greenhouse.io/gusto/jobs/8055761
Gusto	Compliance Manager, Broker-Dealer & Investment Adviser	Senior / Lead (5+ yrs)	5+ yrs	Denver, CO;San Francisco, CA;New York, NY	Competitive (Market Standard)	68%	https://job-boards.greenhouse.io/gusto/jobs/8024433
Gusto	Employee Relations Partner	Full-Time (General)	1-3 yrs (Standard)	Denver, CO	Competitive (Market Standard)	68%	https://job-boards.greenhouse.io/gusto/jobs/7961009
Gusto	Event Marketing Manager	Senior / Lead (5+ yrs)	5+ yrs	Scottsdale, AZ;Denver, CO;San Francisco, CA	Competitive (Market Standard)	68%	https://job-boards.greenhouse.io/gusto/jobs/8094350
Mongodb	Account Development Representative	Full-Time (General)	1-3 yrs (Standard)	Mexico City	Competitive (Market Standard)	68%	https://www.mongodb.com/careers/job/?gh_jid=7318049
Mongodb	Account Development Representative	Full-Time (General)	1-3 yrs (Standard)	Toronto	Competitive (Market Standard)	68%	https://www.mongodb.com/careers/job/?gh_jid=7311234
Mongodb	Account Development Representative	Full-Time (General)	1-3 yrs (Standard)	Dublin, Ireland	Competitive (Market Standard)	68%	https://www.mongodb.com/careers/job/?gh_jid=8081378
Mongodb	Account Development Representative - English Speaking	Full-Time (General)	1-3 yrs (Standard)	Kuala Lumpur	Competitive (Market Standard)	68%	https://www.mongodb.com/careers/job/?gh_jid=8079914
Mongodb	Account Development Representative, German Speaking	Full-Time (General)	1-3 yrs (Standard)	Dublin	Competitive (Market Standard)	68%	https://www.mongodb.com/careers/job/?gh_jid=7337287
Spotify	Advertiser Solutions Vendor Lead - Programmatic and Direct Support	Senior / Lead (5+ yrs)	5+ yrs	London	Competitive (Market Standard)	68%	https://jobs.lever.co/spotify/890b2c0f-f46f-4a4b-bb73-3a6af6e0edd5
Spotify	Android Engineer - Advertising	Full-Time (General)	1-3 yrs (Standard)	New York, NY	$107,483 / yr	68%	https://jobs.lever.co/spotify/a0fa7da3-4c3c-4fa2-97bd-7d6eb01eb9e5
Spotify	Android Engineer - Subscriptions	Full-Time (General)	1-3 yrs (Standard)	London	Competitive (Market Standard)	68%	https://jobs.lever.co/spotify/b4ad9572-e20f-4185-a284-99d9740d04f0
Spotify	Artist & Label Partnerships Manager, Maghreb	Senior / Lead (5+ yrs)	5+ yrs	Dubai	Competitive (Market Standard)	68%	https://jobs.lever.co/spotify/ddb5dfa9-c5ef-4199-bd19-c179af568cc8
Spotify	Artist Label Partnerships Manager, Taiwan	Senior / Lead (5+ yrs)	5+ yrs	Taiwan	Competitive (Market Standard)	68%	https://jobs.lever.co/spotify/77526d53-3811-4336-9c0d-72f6ac0242c7
Spotify	Associate Client Partner - Emerging & Scaled (New Business, German Speaking)	Full-Time (General)	1-3 yrs (Standard)	London	Competitive (Market Standard)	68%	https://jobs.lever.co/spotify/d5628547-6362-470e-8828-7ab565054eaa
Spotify	Associate Client Partner, Emerging & Scaled	Full-Time (General)	1-3 yrs (Standard)	New York, NY	$67,433 - $96,333 / yr	68%	https://jobs.lever.co/spotify/da93b18f-3f08-49d1-8725-15b5b70cb75c
Spotify	Associate Director, Portfolio & Monetization Architecture	Senior / Lead (5+ yrs)	5+ yrs	New York, NY	$191,274 - $273,249 / yr	68%	https://jobs.lever.co/spotify/7aeec299-4653-4c5d-aafb-d537e1232208
Spotify	Client Partner - Emerging & Scaled (German Speaking)	Full-Time (General)	1-3 yrs (Standard)	London	Competitive (Market Standard)	68%	https://jobs.lever.co/spotify/3895bc9e-ca1c-433c-8604-b58ae84aa577
Pinterest	Client Account Manager I	Senior / Lead (5+ yrs)	5+ yrs	Buenos Aires, AR	Competitive (Market Standard)	67%	https://www.pinterestcareers.com/jobs/?gh_jid=8089250
Supabase	Support Engineer (AMER)	Full-Time (General)	3+ yrs	Remote	Competitive (Market Standard)	62%	https://jobs.ashbyhq.com/supabase/e4e3ccb7-7b7d-42a2-be0f-26cbb5ae4abd/application
Supabase	Support Engineer (APAC)	Full-Time (General)	3+ yrs	Remote	Competitive (Market Standard)	61%	https://jobs.ashbyhq.com/supabase/142135ae-a15f-4ec7-90bb-cb4e7968bc09/application
Supabase	Support Engineer (AMER - Weekends)	Full-Time (General)	3+ yrs	Remote	Competitive (Market Standard)	61%	https://jobs.ashbyhq.com/supabase/dcf09dfe-55bc-44ba-b5db-1a2de7f33216/application
Supabase	Support Engineer (EMEA - Weekends)	Full-Time (General)	3+ yrs	Remote	Competitive (Market Standard)	61%	https://jobs.ashbyhq.com/supabase/590a0742-97f1-47f4-81a2-567efc939ae2/application
Sentry	Staff Machine Learning Engineer, AI	Senior / Lead (5+ yrs)	4+ yrs	San Francisco, California	$155,000 / yr	59%	https://jobs.ashbyhq.com/sentry/81f09568-da7d-4ed1-8283-614f846c9b00/application
Supabase	Multigres Deployment Engineer	Full-Time (General)	1-3 yrs (Standard)	Remote	Competitive (Market Standard)	56%	https://jobs.ashbyhq.com/supabase/f035bda1-b5d3-4c5b-8736-b9c335fe1c3b/application
Supabase	Customer Solution Architect (AMER)	Full-Time (General)	1-3 yrs (Standard)	Remote	Competitive (Market Standard)	55%	https://jobs.ashbyhq.com/supabase/d5573afa-636c-4219-832f-386f498243bf/application
Supabase	Developer Relations Engineer (San Francisco, CA)	Full-Time (General)	1-3 yrs (Standard)	Remote	Competitive (Market Standard)	55%	https://jobs.ashbyhq.com/supabase/a1320bbf-bfae-49a8-a1b7-12eeccaf39ca/application
Supabase	Customer Solution Architect (EMEA)	Full-Time (General)	1-3 yrs (Standard)	Remote	Competitive (Market Standard)	55%	https://jobs.ashbyhq.com/supabase/c3099780-60d5-4b8a-ab08-c701d114cf62/application
Supabase	GTM Strategist	Full-Time (General)	6+ yrs	Remote	Competitive (Market Standard)	55%	https://jobs.ashbyhq.com/supabase/23a39e2b-333a-438c-b4e6-cf7cdde27e78/application
Ramp	GTM Systems Engineer, Salesforce	Full-Time (General)	7+ yrs	New York, NY (HQ)	Competitive (Market Standard)	52%	https://jobs.ashbyhq.com/ramp/ffc09fc0-7785-48db-a203-a148f62534be/application
Sentry	Senior Software Engineer, AI	Senior / Lead (5+ yrs)	5+ yrs	San Francisco, California	$155,000 / yr	50%	https://jobs.ashbyhq.com/sentry/6eb8d5f2-977e-4ff4-bdbe-fccb8747b5d7/application
Openai	Software Engineer, Developer Productivity	Full-Time (General)	5+ yrs	San Francisco	Competitive (Market Standard)	48%	https://jobs.ashbyhq.com/openai/2cba0d45-7a4f-4f38-ac73-3f8633bf0349/application
Sentry	Senior Software Engineer, AI Evals	Senior / Lead (5+ yrs)	5+ yrs	San Francisco, California	$155,000 / yr	48%	https://jobs.ashbyhq.com/sentry/95d2eeab-291d-40ad-97a2-86b104f3c7ad/application
Openai	Training: ML Framework Engineer	Full-Time (General)	1-3 yrs (Standard)	San Francisco	Competitive (Market Standard)	47%	https://jobs.ashbyhq.com/openai/d8794980-1d3f-4d82-8b48-811449b6c492/application
Openai	Data Engineer	Full-Time (General)	3+ yrs	San Francisco	Competitive (Market Standard)	46%	https://jobs.ashbyhq.com/openai/fc5bbc77-a30c-4e7a-9acc-8a2e748545b4/application
Linear	Senior / Staff Product Engineer	Senior / Lead (5+ yrs)	5+ yrs	Europe	Competitive (Market Standard)	45%	https://jobs.ashbyhq.com/linear/069c4628-88d7-4e4d-b393-c996fc7f3076/application
Linear	Senior / Staff Product Engineer, AI	Senior / Lead (5+ yrs)	5+ yrs	North America	Competitive (Market Standard)	45%	https://jobs.ashbyhq.com/linear/b4a7764e-c680-4bdf-9956-dc78f2ca94d5/application
Linear	Senior / Staff Fullstack Engineer	Senior / Lead (5+ yrs)	5+ yrs	North America	Competitive (Market Standard)	44%	https://jobs.ashbyhq.com/linear/cd5ae036-0223-427a-b038-ba16ef9dcb32/application
Linear	Senior / Staff Product Engineer	Senior / Lead (5+ yrs)	5+ yrs	North America	Competitive (Market Standard)	44%	https://jobs.ashbyhq.com/linear/12f8f208-0b9c-4569-bb3d-41c8a197029e/application
Linear	Product Engineer	Full-Time (General)	2-5 yrs	North America	Competitive (Market Standard)	44%	https://jobs.ashbyhq.com/linear/0c7c2e26-0a98-42cf-a47c-9a3999fb513b/application
Linear	Senior / Staff Fullstack Engineer	Senior / Lead (5+ yrs)	5+ yrs	Europe	Competitive (Market Standard)	43%	https://jobs.ashbyhq.com/linear/d3bc1ced-3ce4-4086-a050-555055dbb1ff/application
Ramp	Staff Software Engineer, iOS	Senior / Lead (5+ yrs)	5+ yrs	New York, NY (HQ)	Competitive (Market Standard)	42%	https://jobs.ashbyhq.com/ramp/0ed80a29-6cca-42d7-b7e0-066d4fa7b37f/application
Sentry	Solutions Engineer	Full-Time (General)	3+ yrs	San Francisco, California	Competitive (Market Standard)	42%	https://jobs.ashbyhq.com/sentry/9889cf59-cd32-4aff-bff7-645bb1be4e14/application
Ramp	 Security Engineer, Cloud	Full-Time (General)	5+ yrs	New York, NY (HQ)	$10,000 / yr	41%	https://jobs.ashbyhq.com/ramp/34413f8d-26bf-4bbc-8ade-eb309a0e2245/application
Palantir	American Tech Fellowship	Full-Time (General)	2+ yrs	North America	Competitive (Market Standard)	41%	https://jobs.lever.co/palantir/0ccbe620-a3ef-41d1-a5c4-68e56b3c91d0
Ramp	Mobile Engineer, Android	Full-Time (General)	1+ yrs	New York, NY (HQ)	Competitive (Market Standard)	40%	https://jobs.ashbyhq.com/ramp/f564dcf9-9390-4a3f-896f-8047a5086040/application
Ramp	Mobile Engineer, iOS	Full-Time (General)	1+ yrs	New York, NY (HQ)	Competitive (Market Standard)	40%	https://jobs.ashbyhq.com/ramp/4859cd5e-f2a9-44d7-81f7-8bfc0e62369f/application
Openai	Research Engineer	Full-Time (General)	1-3 yrs (Standard)	San Francisco	Competitive (Market Standard)	37%	https://jobs.ashbyhq.com/openai/240d459b-696d-43eb-8497-fab3e56ecd9b/application
Openai	Research Engineer, Retrieval & Search, Applied Engineering	Full-Time (General)	1-3 yrs (Standard)	San Francisco	Competitive (Market Standard)	37%	https://jobs.ashbyhq.com/openai/7322d344-9325-4a92-8445-0a2c4e9272f8/application
Openai	Software Engineer, RL Training Infra	Full-Time (General)	1-3 yrs (Standard)	San Francisco	Competitive (Market Standard)	36%	https://jobs.ashbyhq.com/openai/13995549-e8cc-498f-9eaa-1869067ac35b/application
Openai	Software Engineer, Data Infrastructure	Full-Time (General)	4+ yrs	San Francisco	Competitive (Market Standard)	36%	https://jobs.ashbyhq.com/openai/f763c6b3-5167-4a67-b691-4c3fa2c44156/application
Openai	Software Engineer, Data Acquisition 	Full-Time (General)	4+ yrs	San Francisco	Competitive (Market Standard)	36%	https://jobs.ashbyhq.com/openai/41d9d129-2e58-4ad3-be81-2e5096f4da4d/application
Notion	GTM Recruiter, AMER	Full-Time (General)	5+ yrs	San Francisco, California	Competitive (Market Standard)	36%	https://jobs.ashbyhq.com/notion/f663839e-46ac-44ad-9720-da2b6aa28093/application
Linear	Product Support Specialist, Pacific/Mountain Time	Full-Time (General)	1-3 yrs (Standard)	North America	Competitive (Market Standard)	35%	https://jobs.ashbyhq.com/linear/d062065e-05bb-42ce-a430-ec205695cc2e/application
Ramp	Software Engineer, Frontend	Full-Time (General)	2+ yrs	New York, NY (HQ)	$10,000 / yr	35%	https://jobs.ashbyhq.com/ramp/4e64ab86-4e30-403b-b1b9-41dc052570ce/application
Ramp	Technical Program Manager	Senior / Lead (5+ yrs)	5+ yrs	New York, NY (HQ)	Competitive (Market Standard)	35%	https://jobs.ashbyhq.com/ramp/1db75064-e38c-4b21-8310-21471943d0be/application
Openai	Account Director - Tokyo	Senior / Lead (5+ yrs)	7+ yrs	Tokyo, Japan	Competitive (Market Standard)	35%	https://jobs.ashbyhq.com/openai/18f58952-c242-4562-8732-073a0ae8029e/application
Openai	Researcher, Robustness & Safety Training	Full-Time (General)	4+ yrs	San Francisco	Competitive (Market Standard)	35%	https://jobs.ashbyhq.com/openai/2560ed50-5535-42b8-b069-9ebc28ce7493/application
Notion	Business Development Representative, San Francisco	Full-Time (General)	1-3 yrs (Standard)	San Francisco, California	Competitive (Market Standard)	35%	https://jobs.ashbyhq.com/notion/b21fef72-4864-4a3e-a627-91557a0f8a36/application
Notion	Business Development Representative, Japan	Full-Time (General)	1-3 yrs (Standard)	Tokyo, Japan 	Competitive (Market Standard)	35%	https://jobs.ashbyhq.com/notion/c64a2cda-4c84-45bd-823d-f9141c316733/application
Notion	Sales Operations Lead, AMER	Senior / Lead (5+ yrs)	5+ yrs	San Francisco, California	Competitive (Market Standard)	35%	https://jobs.ashbyhq.com/notion/cb4f5e1a-88e4-4259-b73c-ac975dbcde5f/application
Notion	Model Behavior Engineer	Full-Time (General)	1-3 yrs (Standard)	New York, New York	Competitive (Market Standard)	35%	https://jobs.ashbyhq.com/notion/4bbfad88-0830-46c5-8d05-d95d17d583ca/application
Sentry	Senior Enterprise Product Marketing Manager	Senior / Lead (5+ yrs)	4-6 yrs	San Francisco, California	$150,000 / yr	35%	https://jobs.ashbyhq.com/sentry/d96096f1-f662-4581-8706-2f088bc43211/application
Sentry	Senior Developer Experience Engineer	Senior / Lead (5+ yrs)	5+ yrs	San Francisco, California	Competitive (Market Standard)	35%	https://jobs.ashbyhq.com/sentry/7ed2b263-3873-44c6-a730-2ca96100c58f/application
Sentry	Senior Software Engineer (Frameworks), JavaScript SDK	Senior / Lead (5+ yrs)	5+ yrs	Toronto, Ontario, Canada	Competitive (Market Standard)	35%	https://jobs.ashbyhq.com/sentry/bbd40ef1-c1d5-4e0e-99dd-30fde87cc804/application
Sentry	Senior Software Engineer (iOS), SDK	Senior / Lead (5+ yrs)	5+ yrs	Toronto, Ontario, Canada	Competitive (Market Standard)	35%	https://jobs.ashbyhq.com/sentry/37c30441-078e-4575-83e9-d955ca2e15ce/application
Ramp	Credit Risk Associate	Full-Time (General)	1-3 yrs (Standard)	New York, NY (HQ)	Competitive (Market Standard)	34%	https://jobs.ashbyhq.com/ramp/4745807e-82f4-4b1a-857c-dc8dadc73076/application
Ramp	Product Designer	Full-Time (General)	1-3 yrs (Standard)	New York, NY (HQ)	Competitive (Market Standard)	34%	https://jobs.ashbyhq.com/ramp/eca54d0e-232a-4c3e-bfcc-d6c6add393f5/application
